7	35189
10	48525
13	134418
20	40778
66	126359
67	117999
69	128754
96	16193
99	14436
108	87385
120	124756
136	47067
140	123319
149	168812
150	86590
154	32020
157	20886
173	151714
178	106574
193	70139
202	120985
207	123760
216	121435
285	83068
300	65052
304	133450
305	38482
308	126329
322	141259
326	131349
336	35185
349	117172
354	11326
356	60318
371	4125
375	16027
417	117421
425	119942
427	22900
430	166594
451	41026
456	65708
458	134879
467	89055
476	139680
480	87304
481	148192
486	153557
490	158105
505	137060
515	124199
524	121478
526	38862
529	22897
538	120084
542	83046
546	57277
547	104834
557	79806
568	51045
573	11006
580	138052
584	136893
599	22762
604	31614
610	157274
622	101030
623	73359
626	78129
627	34591
628	47178
629	62767
643	165411
646	118854
655	141842
661	4970
671	67605
687	162588
692	52509
700	80229
710	103531
715	69452
720	128558
733	33028
741	30744
742	149247
746	127779
758	76557
772	142952
783	46342
786	117565
788	132660
804	113507
813	80993
819	17103
830	28265
874	121431
875	5458
901	151022
908	91523
909	22008
933	51650
965	136094
981	137958
1002	16964
1019	86974
1033	112688
1038	119755
1063	112027
1071	24736
1076	63218
1086	110246
1091	23405
1101	157812
1109	23190
1114	138944
1115	50839
1124	14831
1131	112894
1133	96227
1141	127277
1153	79669
1164	15600
1165	137410
1174	27990
1196	66716
1197	48836
1207	148438
1215	92906
1218	70109
1220	160192
1259	40635
1272	27222
1274	80138
1277	127158
1283	89551
1290	106132
1293	52924
1294	16419
1295	64788
1296	142268
1297	12046
1298	93894
1306	5951
1314	107344
1318	56679
1329	156985
1350	124032
1358	118242
1366	94469
1391	108765
1398	30388
1405	114219
1410	50671
1420	126334
1421	32505
1430	154973
1457	29631
1462	41120
1471	112440
1474	52356
1475	49089
1479	115930
1489	19345
1491	61992
1493	6899
1494	77525
1502	19790
1510	8632
1537	1823
1538	44259
1541	69313
1555	103660
1558	96664
1563	88020
1567	164943
1570	18039
1577	31912
1581	168767
1582	99827
1588	61789
1591	92416
1592	13787
1603	108080
1613	159690
1620	52427
1646	72862
1647	160187
1648	78495
1659	73912
1669	161272
1674	1745
1677	34885
1684	68448
1686	79625
1692	25120
1694	120057
1695	125791
1698	67247
1699	161785
1700	144191
1703	44979
1705	48774
1707	3099
1743	149937
1744	4413
1751	13942
1752	164354
1770	104861
1784	103683
1789	150626
1795	34572
1798	85276
1813	164802
1832	62416
1833	62545
1841	26842
1842	76007
1843	135197
1845	116013
1847	116017
1858	116443
1862	73514
1892	40958
1895	8172
1900	30117
1912	117586
1913	112081
1916	145994
1941	99761
1948	43177
1953	163996
1963	29920
1964	19402
1978	63792
1994	72984
1995	119320
1998	143795
2024	156935
2032	65372
2040	12631
2051	21198
2062	48159
2068	16740
2072	19012
2073	18781
2078	100311
2090	100806
2092	51522
2099	92642
2105	139055
2115	128644
2117	42889
2120	144721
2124	153763
2152	103399
2156	10911
2169	136003
2171	58904
2172	73512
2176	85487
2178	3296
2185	68724
2199	39963
2207	71075
2218	36024
2234	27077
2250	59855
2256	32514
2262	40257
2268	151321
2291	82130
2295	18545
2324	19013
2336	99150
2337	123870
2344	145218
2355	164257
2367	15486
2377	36704
2421	66208
2430	124642
2432	38284
2436	73028
2459	4203
2460	140553
2477	19415
2482	53094
2493	88560
2499	50496
2528	93877
2553	122809
2575	86274
2582	5450
2596	162851
2612	80860
2614	47033
2615	32439
2616	40173
2625	65727
2626	86100
2630	108137
2631	66858
2635	36145
2641	152874
2651	131977
2658	72057
2661	44930
2662	51481
2670	91222
2675	68039
2689	110446
2692	26220
2693	122994
2698	95021
2701	48517
2705	150299
2734	100962
2738	81220
2739	103395
2740	12414
2750	15342
2755	136825
2759	121646
2760	115336
2773	155623
2787	61576
2796	21918
2800	141899
2801	139293
2802	100095
2803	13107
2816	30030
2818	1242
2824	41504
2827	101670
2846	146787
2847	111719
2852	125244
2870	136997
2871	13771
2888	10544
2905	140349
2907	137927
2919	148632
2925	138559
2926	162858
2936	132596
2946	160283
2954	20987
2963	117138
2971	12657
2974	12239
2977	57641
2987	103196
3002	44917
3003	35071
3007	40445
3012	35028
3021	4161
3027	16728
3050	53037
3058	129515
3071	125812
3082	99214
3096	90973
3100	148226
3101	91577
3105	122486
3111	2093
3136	63712
3142	73130
3155	102940
3163	40719
3164	161915
3171	38745
3177	75512
3198	162230
3205	164041
3218	105219
3225	118984
3233	5667
3240	53175
3247	133893
3251	66979
3257	154709
3265	13448
3280	50720
3284	120304
3297	140314
3300	64913
3305	136165
3309	85986
3313	165569
3316	67443
3323	167622
3325	55510
3334	80909
3335	118191
3346	142593
3348	22287
3363	92403
3366	53823
3393	38959
3408	133084
3434	71163
3441	110944
3444	129936
3445	863
3452	125231
3453	57106
3455	118551
3462	144986
3465	44406
3467	42197
3471	142506
3486	94005
3491	154111
3501	98903
3527	169149
3533	22836
3535	136508
3542	149112
3549	40786
3552	116897
3565	54243
3590	135772
3601	57025
3605	100105
3616	12986
3618	140179
3626	123672
3633	167512
3649	2887
3678	155811
3680	127227
3695	70385
3696	3640
3704	12055
3710	97313
3712	19618
3719	107180
3727	87729
3737	73239
3745	60630
3756	104251
3757	97348
3766	135123
